FIGHTER,COUNTRY,TKO_WINS,TKO_LOSSES,SUB_WINS,SUB_LOSSES,PRIMARY_STYLE,WIN_RATE,TOTAL_FIGHTS,TOTAL_WINS,TOTAL_LOSSES,DRAW,RECORD,AGE,FINISHING_RATE
Justin Gaethje,USA,20,3,1,2,Striking,83.87,31,26,5,0,26-5-0,36,67.7
Sergei Pavlovich,RUSSIA,15,2,0,0,Striking,86.36,22,19,3,0,19-3-0,32,68.2
Islam Makhachev,RUSSIA,5,1,13,0,Wrestling,96.42,28,27,1,0,27-1-0,33,64.3
Khamzat Chimaev,RUSSIA,6,0,6,0,Freestyle,100.0,14,14,0,0,14-0-0,30,85.7
Usman Nurmagomedov,RUSSIA,8,0,6,0,Wrestling,100.0,19,19,0,0,19-0-0,26,73.7
Shara Magomedov,RUSSIA,12,0,0,0,Striking,93.75,16,15,1,0,15-1-0,30,75.0
Ikram Aliskerov,RUSSIA,6,2,5,0,Sambo,88.23,17,15,2,0,15-2-0,32,64.7
Charles Oliveira,BRAZIL,10,4,21,4,Brazilian Jiu-Jitsu,76.08,46,35,10,0,35-10-0,35,67.4
Alex Pereirra,BRAZIL,10,1,0,1,Striking,80.0,15,12,3,0,12-3-0,37,66.7
Paulo Costa,BRAZIL,11,1,1,0,Striking,77.77,18,14,4,0,14-4-0,33,66.7
Diego Lopoes,BRAZIL,10,2,12,0,Brazilian Jiu-Jitsu,78.78,33,26,7,0,26-7-0,30,66.7
Jean Silva,BRAZIL,12,0,2,0,Striking,88.88,18,16,2,0,16-2-0,28,77.8
Zhang Weili,CHINA,11,1,8,0,Muay Thai,89.65,29,26,3,0,26-3-0,35,65.5
Zhang Mingyang,CHINA,12,3,6,2,Striking,75.0,24,18,6,0,18-6-0,26,75.0
Benoit Saint Denis,FRANCE,4,2,9,0,Brazilian Jiu-Jitsu,76.47,17,13,3,0,13-3-0,29,76.5
Oumar Sy,FRANCE,4,0,4,0,Striking,100.0,11,11,0,0,11-0-0,29,72.7
Nora Cornolle,FRANCE,6,0,1,0,Muay Thai,80.0,10,8,2,0,8-2-0,35,70.0
Edgar Chairez,MEXICO,4,0,7,2,Striking,64.7,17,11,6,0,11-6-0,29,64.7
Tom Aspinall,ENGLAND,11,0,4,1,Striking,83.33,18,15,3,0,15-3-0,31,83.3
Mick Parkin,ENGLAND,6,0,1,0,Brazilian Jiu-Jitsu,90.9,11,10,1,0,10-1-0,29,63.6
Tai Tuivasa,AUSTRALIA,14,3,0,3,Kickboxing,68.18,22,15,8,0,15-8-0,32,63.6
Jack Della Maddalena,AUSTRALIA,12,1,2,1,Brazilian Jiu-Jitsu,89.47,19,17,2,0,17-2-0,28,73.7
Tyson Pedro,AUSTRALIA,5,1,5,1,Brazilian Jiu-Jitsu,66.66,15,10,5,0,10-5-0,33,66.7
Junior Tafa,AUSTRALIA,6,1,0,1,Kickboxing,66.66,9,6,3,0,6-3-0,28,66.7
