FIGHTER,COUNTRY,TKO_WINS,TKO_LOSSES,SUB_WINS,SUB_LOSSES,PRIMARY_STYLE,WIN_RATE,TOTAL_FIGHTS,TOTAL_WINS,TOTAL_LOSSES,DRAW,RECORD,AGE,FINISHING_RATE
Jon Jones,USA,11,0,7,0,Muay Thai,93.33,30,28,1,0,28-1-0,37,60.0
Max Holloway,USA,12,1,2,1,Striking,76.47,34,26,8,0,26-8-0,33,41.2
Justin Gaethje,USA,20,3,1,2,Striking,83.87,31,26,5,0,26-5-0,36,67.7
Neil Magny,USA,8,5,4,6,Striking,69.04,42,29,14,0,29-14-0,37,28.6
Sean Brady,USA,3,1,6,0,Brazilian Jiu-Jitsu,94.73,19,18,1,0,18-1-0,32,47.4
Sean O' Malley,USA,12,1,1,0,Striking,85.71,21,18,2,0,18-2-0,30,61.9
Dustin Porier,USA,16,3,7,4,Brazilian Jiu-Jitsu,75.0,40,30,9,0,30-9-0,36,57.5
Colby Covington,USA,3,2,5,1,Wrestling,77.27,22,17,5,0,17-5-0,37,36.4
Michael Chandler,USA,11,4,7,1,Striking,69.69,33,23,10,0,23-10-0,38,54.5
Stephen Thompson,USA,8,2,1,1,Kickboxing,80.95,21,17,8,1,17-8-1,42,42.9
Holly Holm,USA,8,1,0,2,Striking,65.21,23,15,7,0,15-7-0,43,34.8
Frankie Edgar,USA,6,5,4,0,Wrestling,63.88,36,23,11,1,23-11-1,43,27.8
Jorge Masvidal,USA,16,2,2,2,Wrestling,67.3,52,35,17,0,35-17-0,40,34.6
Derrick lewis,USA,23,7,1,2,Striking,68.29,41,28,12,0,28-12-0,40,58.5
Robbie Lawler,USA,22,3,1,6,Striking,63.82,47,30,16,0,30-16-0,43,48.9
Hakeem Davodu,CANADA,7,0,0,1,Muay Thai,72.22,18,13,4,1,13-4-1,33,38.9
Kyle Nelson,CANADA,6,3,4,1,Kickboxing,69.56,23,16,6,1,16-6-1,33,43.5
Charles Jourdain,CANADA,8,1,6,1,Striking,64.0,25,16,8,1,16-8-1,29,56.0
Jasmine Jasudavicius,CANADA,2,0,3,0,Brawler,81.25,16,13,3,0,13-3-0,36,31.3
Jamey-Lyn Horth,CANADA,3,0,2,0,Kickboxing,77.77,9,7,2,0,7-2-0,35,55.6
Magomed Ankalaev,RUSSIA,11,0,0,1,Striking,91.3,23,21,1,1,21-1-1,32,47.8
Sergei Pavlovich,RUSSIA,15,2,0,0,Striking,86.36,22,19,3,0,19-3-0,32,68.2
Islam Makhachev,RUSSIA,5,1,13,0,Wrestling,96.42,28,27,1,0,27-1-0,33,64.3
Petr Yan,RUSSIA,7,0,1,0,Striking,78.26,23,18,5,0,18-5-0,32,34.8
Alexander Volkov,RUSSIA,24,2,4,3,Striking,77.55,49,38,11,0,38-11-0,36,57.1
Khamzat Chimaev,RUSSIA,6,0,6,0,Freestyle,100.0,14,14,0,0,14-0-0,30,85.7
Usman Nurmagomedov,RUSSIA,8,0,6,0,Wrestling,100.0,19,19,0,0,19-0-0,26,73.7
Umar Nurmagomedov,RUSSIA,2,0,7,0,Wrestling,94.73,19,18,1,0,18-1-0,29,47.4
Shara Magomedov,RUSSIA,12,0,0,0,Striking,93.75,16,15,1,0,15-1-0,30,75.0
Ikram Aliskerov,RUSSIA,6,2,5,0,Sambo,88.23,17,15,2,0,15-2-0,32,64.7
Charles Oliveira,BRAZIL,10,4,21,4,Brazilian Jiu-Jitsu,76.08,46,35,10,0,35-10-0,35,67.4
Gilbert Burns,BRAZIL,6,3,9,0,Striking,73.33,30,22,8,0,22-8-0,38,50.0
